
2025/03/15 (22:43:52) | ===> btop++ v.1.4.0
2025/03/15 (22:43:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (22:46:44) | ===> btop++ v.1.4.0
2025/03/15 (22:46:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (15:28:32) | ===> btop++ v.1.4.0
2025/03/21 (15:28:32) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (12:35:10) | ===> btop++ v.1.4.0
2025/03/31 (12:35:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/31 (12:35:47) | ===> btop++ v.1.4.0
2025/03/31 (12:35:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (21:56:58) | ===> btop++ v.1.4.0
2025/04/15 (21:56:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (22:25:59) | ===> btop++ v.1.4.0
2025/04/15 (22:25:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (23:00:06) | ===> btop++ v.1.4.0
2025/04/15 (23:00:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (23:00:21) | ===> btop++ v.1.4.0
2025/04/15 (23:00:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (23:00:24) | ===> btop++ v.1.4.0
2025/04/15 (23:00:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (00:30:26) | ===> btop++ v.1.4.0
2025/04/16 (00:30:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/16 (13:47:25) | ===> btop++ v.1.4.0
2025/04/16 (13:47:25) | WARNING: Intel GPU: Failed to initialize PMU
